Jaar,Maand,Dag,Uur,ThetaE,Day,Day-1,Day-2,Day-3,Day-4,Day-5,Day-6,Day-7,RMOT,clo,ground free,no ground,no pump,heating pump,dagnummer,zomer,,,,,,
1986,1,1,1,1,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,1,0,,14,grenstemp free cooling,,,
1986,1,1,2,-1.4,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,2,0,,2736,aantal,,,
1986,1,1,3,-3,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,3,0,,,,,,
1986,1,1,4,-3.7,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,4,0,,15,grenstemp warmtepomp heating,,,
1986,1,1,5,-3.8,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,5,0,,3625,aantal,,,
1986,1,1,6,-4,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,6,0,,,,,,
1986,1,1,7,-3,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,7,0,,1.324926901,,,,
1986,1,1,8,-2.7,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,8,0,,,,,2280,3.18
1986,1,1,9,-2.7,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,9,0,,10,4584,,2088,2.91
1986,1,1,10,-2.7,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,10,0,,12,3696,,1874.666667,2.61
1986,1,1,11,-2.5,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,11,0,,15,2088,,,
1986,1,1,12,-2,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,12,0,,17,1272,,,
1986,1,1,13,-1.5,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,13,0,,,,,,
1986,1,1,14,-1.1,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,14,0,,,,,,
1986,1,1,15,-0.9,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,15,0,,1753,start zomer,,15 maart,
1986,1,1,16,-1.1,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,16,0,,6889,einde zomer,,15 oktober,
1986,1,1,17,-1.4,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,17,0,,,,,,
1986,1,1,18,-1.3,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,18,0,,,,,,
1986,1,1,19,-1.5,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,19,0,,,,,,
1986,1,1,20,-1.3,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,20,0,,,,,,
1986,1,1,21,-0.9,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,21,0,,,,,,
1986,1,1,22,-0.5,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,22,0,,,,,,
1986,1,1,23,0,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,23,0,,,,,,
1986,1,1,24,-0.2,-1.8,8,6.4,5,8,10,9,7.9,7.5,0.8,0,1,0,1,24,0,,,,,,
1986,1,2,1,-0.2,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,25,0,,,,,,
1986,1,2,2,0.1,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,26,0,,,,,,
1986,1,2,3,0.2,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,27,0,,,,,,
1986,1,2,4,0.7,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,28,0,,,,,,
1986,1,2,5,1.6,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,29,0,,,,,,
1986,1,2,6,2.4,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,30,0,,,,,,
1986,1,2,7,3.1,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,31,0,,,,,,
1986,1,2,8,3.2,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,32,0,,,,,,
1986,1,2,9,3.4,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,33,0,,,,,,
1986,1,2,10,4,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,34,0,,,,,,
1986,1,2,11,4.8,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,35,0,,,,,,
1986,1,2,12,6,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,36,0,,,,,,
1986,1,2,13,6,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,37,0,,,,,,
1986,1,2,14,6.2,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,38,0,,,,,,
1986,1,2,15,6.3,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,39,0,,,,,,
1986,1,2,16,6.4,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,40,0,,,,,,
1986,1,2,17,6.6,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,41,0,,,,,,
1986,1,2,18,6.1,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,42,0,,,,,,
1986,1,2,19,6.2,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,43,0,,,,,,
1986,1,2,20,6.4,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,44,0,,,,,,
1986,1,2,21,6.6,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,45,0,,,,,,
1986,1,2,22,6.7,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,46,0,,,,,,
1986,1,2,23,6.6,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,47,0,,,,,,
1986,1,2,24,6.1,4.4,-1.8,8,6.4,5,8,10,9,5,0.8,0,1,0,1,48,0,,,,,,
1986,1,3,1,5.5,2.8,4.4,-1.8,8,6.4,5,8,10,4.6,0.8,0,1,0,1,49,0,,,,,,
1986,1,3,2,5.4,2.8,4.4,-1.8,8,6.4,5,8,10,4.6,0.8,0,1,0,1,50,0,,,,,,
1986,1,3,3,5.2,2.8,4.4,-1.8,8,6.4,5,8,10,4.6,0.8,0,1,0,1,51,0,,,,,,
1986,1,3,4,5.5,2.8,4.4,-1.8,8,6.4,5,8,10,4.6,0.8,0,1,0,1,52,0,,,,,,
1986,1,3,5,4.8,2.8,4.4,-1.8,8,6.4,5,8,10,4.6,0.8,0,1,0,1,53,0,,,,,,
1986,1,3,6,4.7,2.8,4.4,-1.8,8,6.4,5,8,10,4.6,0.8,0,1,0,1,54,0,,,,,,
